,tweet_id,retweet_count,favorite_count
1332,694342028726001664,455,1509
1333,694329668942569472,472,1892
1334,694206574471057408,1919,3939
1335,694183373896572928,875,2798
1336,694001791655137281,966,3238
1337,693993230313091072,380,1795
1338,693942351086120961,343,1668
1339,693647888581312512,550,2557
1340,693644216740769793,118,1297
1341,693642232151285760,394,2427
1342,693629975228977152,750,2335
1343,693622659251335168,352,1463
1344,693590843962331137,1846,4808
1345,693582294167244802,235,1568
1346,693486665285931008,593,1686
1347,693280720173801472,1171,3189
1348,693267061318012928,763,2262
1349,693262851218264065,467,2093
1350,693231807727280129,698,2748
1351,693155686491000832,3014,7497
1352,693109034023534592,572,1625
1353,693095443459342336,428,1771
1354,692919143163629568,716,2554
1355,692905862751522816,821,2310
1356,692901601640583168,566,1669
1357,692894228850999298,743,2150
1358,692828166163931137,836,2736
1359,692752401762250755,3425,6475
1360,692568918515392513,1454,4138
1361,692535307825213440,1280,3001
1362,692530551048294401,386,1752
1363,692423280028966913,208,1406
1364,692417313023332352,3248,8907
1365,692187005137076224,771,2408
1366,692158366030913536,748,2036
1367,692142790915014657,366,1560
1368,692041934689402880,1183,3230
1369,692017291282812928,898,2752
1370,691820333922455552,1549,3769
1371,691793053716221953,3975,7717
1372,691756958957883396,927,2687
1373,691675652215414786,475,1857
1374,691483041324204033,526,2273
1375,691459709405118465,1068,3840
1376,691444869282295808,792,2505
1377,691416866452082688,7179,18389
1378,691321916024623104,622,2458
1379,691096613310316544,832,2841
1380,691090071332753408,317,1641
1381,690989312272396288,2705,5617
1382,690959652130045952,1154,3400
1383,690938899477221376,1823,3886
1384,690932576555528194,951,3118
1385,690735892932222976,1196,3603
1386,690728923253055490,486,2066
1387,690690673629138944,775,2219
1388,690649993829576704,256,1239
1389,690607260360429569,15,287
1390,690597161306841088,571,1852
1391,690400367696297985,425,1800
1392,690374419777196032,797,3090
1393,690360449368465409,830,2522
1394,690348396616552449,482,1420
1395,690248561355657216,392,1598
1396,690021994562220032,966,2666
1397,690015576308211712,687,2372
1398,690005060500217858,1594,3493
1399,689999384604450816,343,1348
1400,689993469801164801,422,1387
1401,689977555533848577,423,1303
1402,689905486972461056,651,2338
1403,689877686181715968,1096,2888
1404,689835978131935233,709,2070
1405,689661964914655233,884,3087
1406,689659372465688576,3622,9837
1407,689623661272240129,602,2105
1408,689599056876867584,5195,11082
1409,689557536375177216,427,1953
1410,689517482558820352,1344,3234
1411,689289219123089408,878,2147
1412,689283819090870273,1037,3102
1413,689280876073582592,665,1883
1414,689275259254616065,233,1090
1415,689255633275777024,1019,2432
1416,689154315265683456,932,2933
1417,689143371370250240,471,1928
1418,688916208532455424,807,2578
1419,688908934925697024,723,1998
1420,688898160958271489,735,1993
1421,688894073864884227,646,2136
1422,688828561667567616,342,1311
1423,688804835492233216,176,916
1424,688789766343622656,627,2116
1425,688547210804498433,658,2458
1426,688519176466644993,685,2212
1427,688385280030670848,4213,8810
1428,688211956440801280,784,2138
1429,688179443353796608,551,2037
1430,688116655151435777,728,2688
1431,688064179421470721,338,1650
1432,687841446767013888,2347,5184
1433,687826841265172480,1053,2615
1434,687818504314159109,900,2363
1435,687807801670897665,675,2262
1436,687732144991551489,620,1673
1437,687704180304273409,789,2314
1438,687664829264453632,482,1844
1439,687494652870668288,542,1810
1440,687480748861947905,226,1523
1441,687476254459715584,501,1886
1442,687460506001633280,508,1961
1443,687399393394311168,580,1800
1444,687317306314240000,8635,19159
1445,687312378585812992,1787,4144
1446,687127927494963200,2128,5157
1447,687124485711986689,476,2089
1448,687109925361856513,2313,5530
1449,687102708889812993,907,2227
1450,687096057537363968,572,2132
1451,686947101016735744,3006,8204
1452,686760001961103360,1305,3344
1453,686749460672679938,1365,3303
1454,686730991906516992,1133,3928
1455,686683045143953408,761,2691
1456,686618349602762752,1281,3525
1457,686606069955735556,511,1805
1458,686394059078897668,651,1653
1459,686386521809772549,829,3093
1460,686377065986265092,533,2108
1461,686358356425093120,621,2062
1462,686286779679375361,1579,3835
1463,686050296934563840,687,2121
1464,686035780142297088,111,1094
1465,686034024800862208,1074,2939
1466,686007916130873345,381,2352
1467,686003207160610816,581,1738
1468,685973236358713344,490,1997
1469,685943807276412928,554,1548
1470,685906723014619143,2686,7105
1471,685681090388975616,116,1945
1472,685667379192414208,527,2240
1473,685663452032069632,1379,3060
1474,685641971164143616,721,2769
1475,685547936038666240,14633,31281
1476,685532292383666176,1088,2890
1477,685325112850124800,3722,8960
1478,685321586178670592,594,2514
1479,685315239903100929,977,3133
1480,685307451701334016,413,1980
1481,685268753634967552,1124,2942
1482,685198997565345792,625,2217
1483,685169283572338688,1338,3907
1484,684969860808454144,343,2274
1485,684959798585110529,2938,6462
1486,684940049151070208,977,3046
1487,684926975086034944,440,3333
1488,684914660081053696,1369,3338
1489,684902183876321280,494,1780
1490,684880619965411328,758,1989
1491,684830982659280897,20427,33261
1492,684800227459624960,940,2591
1493,684594889858887680,3290,8453
1494,684588130326986752,1327,3911
1495,684567543613382656,1137,2852
1496,684538444857667585,893,2511
1497,684481074559381504,1111,3691
1498,684460069371654144,524,1878
1499,684241637099323392,3074,7708
1500,684225744407494656,192,1186
1501,684222868335505415,1280,3637
1502,684200372118904832,983,2044
1503,684195085588783105,476,1814
1504,684188786104872960,1091,3325
1505,684177701129875456,620,1919
1506,684147889187209216,1424,2834
1507,684122891630342144,442,1908
1508,684097758874210310,1346,3913
1509,683857920510050305,1053,3627
1510,683852578183077888,327,1850
1511,683849932751646720,891,2477
1512,683834909291606017,1058,2497
1513,683828599284170753,1000,2667
1514,683773439333797890,1265,3173
1515,683742671509258241,3123,6134
1516,683515932363329536,2716,6969
1517,683498322573824003,914,3015
1518,683481228088049664,943,2537
1519,683462770029932544,638,2308
1520,683449695444799489,1505,3675
1521,683391852557561860,2254,7261
1522,683357973142474752,856,2754
1523,683142553609318400,982,2732
1524,683111407806746624,854,3229
1525,683098815881154561,614,2067
1526,683078886620553216,534,1900
1527,683030066213818368,701,2051
1528,682962037429899265,15410,34814
1529,682808988178739200,158,1684
1530,682788441537560576,1050,2357
1531,682750546109968385,409,1441
1532,682697186228989953,342,1250
1533,682662431982772225,1020,2897
1534,682638830361513985,559,1967
1535,682429480204398592,1083,3263
1536,682406705142087680,1651,7183
1537,682393905736888321,620,2131
1538,682389078323662849,442,1589
1539,682303737705140231,916,2910
1540,682259524040966145,1117,3930
1541,682242692827447297,1078,3067
1542,682088079302213632,9224,17270
1543,682059653698686977,1576,4676
1544,682047327939461121,878,3040
1545,682032003584274432,1868,6225
1546,682003177596559360,1421,2951
1547,681981167097122816,960,2661
1548,681891461017812993,768,2342
1549,681694085539872773,3813,12165
1550,681679526984871937,414,1684
1551,681654059175129088,847,2491
1552,681610798867845120,438,1799
1553,681579835668455424,1218,3357
1554,681523177663676416,5392,13519
1555,681340665377193984,255,1563
1556,681339448655802368,3827,8819
1557,681320187870711809,692,2503
1558,681302363064414209,1701,3721
1559,681297372102656000,888,3053
1560,681281657291280384,1031,3064
1561,681261549936340994,248,1380
1562,681242418453299201,492,1414
1563,681231109724700672,458,2291
1564,681193455364796417,1381,3504
1565,680970795137544192,610,2281
1566,680959110691590145,1874,4349
1567,680940246314430465,974,3025
1568,680934982542561280,408,1980
1569,680913438424612864,580,2284
1570,680889648562991104,346,1668
1571,680836378243002368,1244,3276
1572,680805554198020098,625,2037
1573,680801747103793152,765,2252
1574,680798457301471234,967,2687
1575,680609293079592961,651,2493
1576,680583894916304897,1242,3429
1577,680497766108381184,1798,3998
1578,680494726643068929,455,1626
1579,680473011644985345,708,2407
1580,680440374763077632,467,1375
1581,680221482581123072,277,1410
1582,680206703334408192,1095,2693
1583,680191257256136705,469,2041
1584,680176173301628928,1449,3678
1585,680161097740095489,692,2206
1586,680145970311643136,1632,3429
1587,680130881361686529,883,2176
1588,680115823365742593,856,2580
1589,680100725817409536,1296,3415
1590,680085611152338944,8442,12127
1591,680070545539371008,807,2452
1592,679877062409191424,606,1872
1593,679872969355714560,622,2085
1594,679862121895714818,578,2328
1595,679854723806179328,1152,2705
1596,679844490799091713,709,2256
1597,679828447187857408,13086,34183
1598,679777920601223168,1028,2945
1599,679736210798047232,742,1979
1600,679729593985699840,780,2053
1601,679722016581222400,441,1581
1602,679530280114372609,1953,4512
1603,679527802031484928,680,2488
1604,679511351870550016,1180,3173
1605,679503373272485890,1371,2995
1606,679475951516934144,601,1983
1607,679462823135686656,17539,29731
1608,679405845277462528,1114,2240
1609,679158373988876288,7503,20021
1610,679148763231985668,965,2635
1611,679132435750195208,1079,2805
1612,679111216690831360,2419,5616
1613,679062614270468097,7491,15974
1614,679047485189439488,612,2121
1615,679001094530465792,1140,2689
1616,678991772295516161,1071,2148
1617,678969228704284672,423,1548
1618,678800283649069056,844,2428
