,tweet_id,retweet_count,favorite_count
0,888202515573088257,N/A,N/A
1,873697596434513921,N/A,N/A
2,872668790621863937,N/A,N/A
3,872261713294495745,N/A,N/A
4,869988702071779329,N/A,N/A
5,866816280283807744,N/A,N/A
6,861769973181624320,N/A,N/A
7,857062103051644929,N/A,N/A
8,857029823797047296,N/A,N/A
9,856602993587888130,N/A,N/A
10,856330835276025856,N/A,N/A
11,851953902622658560,N/A,N/A
12,845459076796616705,N/A,N/A
13,844704788403113984,N/A,N/A
14,842892208864923648,N/A,N/A
15,837366284874571778,N/A,N/A
16,837012587749474308,N/A,N/A
17,829374341691346946,N/A,N/A
18,827228250799742977,N/A,N/A
19,824325613288833024,N/A,N/A
20,824297048279236611,N/A,N/A
21,824025158776213504,N/A,N/A
22,823939628516474880,N/A,N/A
23,823719002937630720,N/A,N/A
24,823699002998870016,N/A,N/A
25,823581115634085888,N/A,N/A
26,823333489516937216,N/A,N/A
27,823322678127919110,N/A,N/A
28,823269594223824897,N/A,N/A
29,822975315408461824,N/A,N/A
30,822872901745569793,N/A,N/A
31,822859134160621569,N/A,N/A
32,822647212903690241,N/A,N/A
33,822610361945911296,N/A,N/A
34,822489057087389700,N/A,N/A
35,822462944365645825,N/A,N/A
36,822244816520155136,N/A,N/A
37,822163064745328640,N/A,N/A
38,821886076407029760,N/A,N/A
39,821813639212650496,N/A,N/A
40,821765923262631936,N/A,N/A
41,821522889702862852,N/A,N/A
42,821421320206483457,N/A,N/A
43,821407182352777218,N/A,N/A
44,821153421864615936,N/A,N/A
45,821149554670182400,N/A,N/A
46,821107785811234820,N/A,N/A
47,821044531881721856,N/A,N/A
48,820837357901512704,N/A,N/A
49,820749716845686786,N/A,N/A
50,820690176645140481,N/A,N/A
51,820494788566847489,N/A,N/A
52,820446719150292993,N/A,N/A
53,820314633777061888,N/A,N/A
54,820078625395449857,N/A,N/A
55,820013781606658049,N/A,N/A
56,819952236453363712,N/A,N/A
57,819924195358416896,N/A,N/A
58,819711362133872643,N/A,N/A
59,819588359383371776,N/A,N/A
60,819347104292290561,N/A,N/A
61,819238181065359361,N/A,N/A
62,819227688460238848,N/A,N/A
63,819015337530290176,N/A,N/A
64,819015331746349057,N/A,N/A
65,819006400881917954,N/A,N/A
66,819004803107983360,N/A,N/A
67,818646164899774465,N/A,N/A
68,818627210458333184,N/A,N/A
69,818614493328580609,N/A,N/A
70,818588835076603904,N/A,N/A
71,818536468981415936,N/A,N/A
72,818307523543449600,N/A,N/A
73,818259473185828864,N/A,N/A
74,818145370475810820,N/A,N/A
75,817908911860748288,N/A,N/A
76,817827839487737858,N/A,N/A
77,817777686764523521,N/A,N/A
78,817536400337801217,N/A,N/A
79,817502432452313088,N/A,N/A
80,817423860136083457,N/A,N/A
81,817415592588222464,N/A,N/A
82,817181837579653120,N/A,N/A
83,817171292965273600,N/A,N/A
84,817120970343411712,N/A,N/A
85,817056546584727552,N/A,N/A
86,816829038950027264,N/A,N/A
87,816816676327063552,N/A,N/A
88,816697700272001025,N/A,N/A
89,816450570814898180,N/A,N/A
90,816336735214911488,N/A,N/A
91,813172488309972993,N/A,N/A
92,813157409116065792,N/A,N/A
93,813142292504645637,N/A,N/A
94,813130366689148928,N/A,N/A
95,813127251579564032,N/A,N/A
96,813112105746448384,N/A,N/A
97,813096984823349248,N/A,N/A
98,813081950185472002,N/A,N/A
99,813066809284972545,N/A,N/A
100,813051746834595840,N/A,N/A
101,812781120811126785,N/A,N/A
102,812747805718642688,N/A,N/A
103,812709060537683968,N/A,N/A
104,812503143955202048,N/A,N/A
105,812466873996607488,N/A,N/A
106,812372279581671427,N/A,N/A
107,811985624773361665,N/A,N/A
108,811744202451197953,N/A,N/A
109,811647686436880384,N/A,N/A
110,811627233043480576,N/A,N/A
111,811386762094317568,N/A,N/A
112,810984652412424192,N/A,N/A
113,810896069567610880,N/A,N/A
114,810657578271330305,N/A,N/A
115,810284430598270976,N/A,N/A
116,810254108431155201,N/A,N/A
117,809920764300447744,N/A,N/A
118,809808892968534016,N/A,N/A
119,809448704142938112,N/A,N/A
120,809220051211603969,N/A,N/A
121,809084759137812480,N/A,N/A
122,808838249661788160,N/A,N/A
123,808733504066486276,N/A,N/A
124,808501579447930884,N/A,N/A
125,802247111496568832,N/A,N/A
126,779123168116150273,N/A,N/A
127,775096608509886464,N/A,N/A
128,771004394259247104,N/A,N/A
129,770743923962707968,N/A,N/A
130,766864461642756096,N/A,N/A
131,759923798737051648,N/A,N/A
132,759566828574212096,N/A,N/A
133,754011816964026368,N/A,N/A
134,680055455951884288,N/A,N/A
